Code	Gencod	Long Name	Short Name	VAT Code	Purchase Price	Nomenclature	SousFamilleDistri Code	FamilleDistri Code	Categorie Code
434348	3256220239974	5L BIB COTE/RHONE AOC ROUGE U 	5L BIB COTE/RH	2 	10.95	0110111010	13	340	8 
004040	0000000004040	(MT)PRUNE NOIRE UB RONDE 40+  	PRUNE NOIRE UB	1 	2.00	0105012000	91	440	ZZ
134759	3256221134759	SAUCE BEARNAISE U (CU)        	SAUCE BEARNAIS	1 	0.47	0105034010	60	140	ZZ
209214	3215774012570	100ML CR.DEPILAT PX SENS VEET 	100ML CR.DEPIL	2 	2.54	0120153010	95	650	3 
437639	3368956838908	75CL V/OC MERLOT RG U SAVEURS 	75CL V/OC MERL	2 	2.04	0110110510	10	340	15
235702	5010034514003	250G RIZ LONG GRAIN 2MN UNCLE 	250G RIZ LONG 	1 	1.08	0105041505	55	120	3 
412639	3256223028322	1L BRIQU JUS ABC PAMPLE.ROSE U	1L BRIQU JUS A	1 	0.75	0110101505	32	300	8 
004645	0000000004645	(MT)CHAMPIGNON FORESTIER BQ.  	CHAMP.FOREST. 	1 	1.80	0230359900	93	450	ZZ
454673	3256220269728	200G GUACAMOLE U              	200G GUACAMOLE	1 	1.47	0240401530	4 	491	8 
004051	0000000004051	MANGUE PIECE UB               	MANGUE PIECE U	1 	1.30	0230349900	91	440	ZZ
585416	3041090505942	4X130G POM/PRUNEAU POTS FRUITS	4X130G POM/PRU	1 	2.28	0105070505	30	250	3 
340719	3045320008920	370G CHATAIGNES    BONNE MAMAN	370G CHATAIGNE	1 	1.49	0105012505	10	200	3 
063228	3124480230003	6X33CL BOITE OASIS ORANGE     	6X33CL BOITE O	1 	2.71	0110100515	21	300	3 
520335	3249290012264	1.5L LIMONADE PPX PUMA PET    	1.5L LIMONADE 	1 	0.44	0110100505	10	300	1 
415108	3256222645025	750ML ASS.ULTRA SOURCEFRAICH U	750ML ASS.ULTR	2 	0.94	0115130510	31	500	8 
495124	4008667009936	1L PET OCEAN SPRAY CLASSIC    	1L PET OCEAN S	1 	1.45	0110100515	15	300	3 
NULL	3256220440257	375G CORN FLAKES 8 VIT+FER U  	375G CORN FLAK	1 	0.66	0105012010	20	40 	8 
193811	3228851000582	330G 8 DOOWAP PEPITE CHOC     	330G 8 DOOWAP 	1 	1.44	0210220520	93	20 	3 
003240	0000000003240	(MT)PECHE BLANCHE PLATE       	PECHE BLANCHE 	1 	2.10	0230349900	91	440	ZZ
NULL	8000500024065	FERRERO ROCHER  CONE T28 350GR	FERRERO ROCHER	1 	6.62	0105021505	30	60 	ZZ
904741	4005900035684	200ML DEO HOM NIVEA BLACK POWE	200ML DEO HOM 	2 	2.39	0120152005	55	650	3 
648939	3242274007058	320G SALADE STOCKHOLM SAUMON  	320G SALADE ST	1 	2.78	0240391520	53	380	3 
418855	3256220022712	268G CHOCO ET LAIT POCKET U   	268G CHOCO ET 	1 	1.56	0105021005	38	20 	8 
474932	3256221115512	1L PUR JUS D ANANAS U         	1L PUR JUS D A	1 	1.53	0225291020	45	418	8 
410823	3256225472123	FILM ETIRABLE 2EN1 20 METRES U	FILM ETIRABLE 	2 	0.40	0115141005	65	510	8 
122616	3177710001416	PQ 500G FRUCTOSE VIVIS        	PQ 500G FRUCTO	1 	2.23	0105071505	90	260	3 
037366	5000161019656	450G CROQ ONE JUNIOR POULETRIZ	450G CROQ ONE 	2 	1.85	0105081005	36	270	3 
009078	0000000009078	(MT)COURGETTE FLEUR           	COUGETTE FLEUR	1 	2.94	0230349900	91	440	ZZ
410718	3256223740200	70CL CREME DE CASSIS 16° U    	70CL CREME DE 	2 	3.34	0110121025	40	370	8 
598760	7622210113535	53G CAPS CARTE NOIRE INTENS. 9	53G CAPS CARTE	1 	2.20	0105011005	38	30 	3 
201761	3046920043380	TAB 150G LINDT IRISH COFFEE   	TAB 150G LINDT	2 	1.73	0105021510	35	60 	3 
125745	3273220539903	4X120G Y. BREBI NATUR BIO VRAI	4X120G Y. BREB	1 	2.00	0225291525	70	418	3 
046408	7622300046408	2X100G MILKA CAR(CU)          	2X100G MILKA C	2 	1.50	0105021505	30	60 	ZZ
360507	7613034638625	KUB OR FAMILIAL      8L  MAGGI	KUB OR FAMILIA	1 	1.03	0105035005	10	130	3 
307020	3336971307020	MONSTER MUNCH SALE(CU)        	MONSTER MUNCH 	1 	0.72	0105020505	15	20 	3 
072340	3455090023496	75CL CUVEE MAISON ROSE        	75CL CUVEE MAI	2 	1.26	0110110505	31	330	4 
529533	4017100376108	PQ 125G CROISSANT LUNE BAHLSEN	PQ 125G CROISS	1 	0.83	0105021005	26	20 	3 
NULL	3599740002346	CREPES ROULE JAMB/CHAMP.X6    	CREPES ROULE J	1 	1.44	0215241005	15	390	1 
422951	3387620030066	330G SAUCISSE SUPERIEURE      	330G SAUCISSE 	1 	2.60	0255474805	21	486	3 
107666	3017760381697	90G CROUSTILLES CACAHUETTES   	90G CROUSTILLE	1 	0.78	0105020505	15	20 	3 
410263	3256224070290	4/4 BTE SAUCISSES LENTILLES U 	4/4 BTE SAUCIS	1 	1.21	0105051510	26	240	8 
NULL	3256221212297	150G PISTACHE GRILLEE SEC U   	150G PISTACHE 	1 	1.31	0105020505	18	20 	8 
003240	0000000003240	(MT)PECHE BLANCHE PLATE       	PECHE BLANCHE 	1 	1.60	0230349900	91	440	ZZ
442985	3256224231509	20CL CREME FRAICHE EPAISSE U  	20CL CREME FRA	1 	0.50	0225292505	30	419	8 
186238	8429874232027	165G BROCH CONDIMENTS PIQUANTS	165G BROCH CON	1 	1.49	0105033505	10	150	3 
004796	0000000004796	(MT)TOMATE CERISE BQ.250G UE  	TOMATE CERISE 	1 	1.20	0230359900	93	450	ZZ
467244	3256220666589	160G 4 TR BLANC DE POULET U   	160G 4 TR BLAN	1 	1.05	0240381550	18	380	8 
632718	3256222245218	 145G CLUB POULET CRUDITES U  	 145G CLUB POU	1 	0.71	0240391505	52	380	8 
444571	3256224310303	200G EDAM TRANCHETTES 24%MG U 	200G EDAM TRAN	1 	1.13	0225281515	8 	420	8 
921337	3760077980953	75CL BDX RGE CH.SAILLAN       	75CL BDX RGE C	2 	1.94	0110111010	32	340	3 
004643	0000000004643	(MT)SALADE BATAVIA            	SALADE BATAVIA	1 	0.48	0230359900	93	450	ZZ
560709	3367651002416	230G TRI XXL POULET ROTI MAYO 	230G TRI XXL P	1 	1.95	0240391505	52	380	3 
033532	3178530411164	14 CREPES BRETONNES ST MICHEL 	14 CREPES BRET	1 	1.31	0210230000	95	20 	3 
209353	3059940006839	1L GEL EXPRESS DESTOP         	1L GEL EXPRESS	2 	1.81	0115131530	50	510	3 
041722	8717496041722	(MT)FRAMBOISE BARQUETTE 125   	FRAMBOISE BARQ	1 	1.35	0230349900	91	440	ZZ
000200	0000000000200	(MT)BOISSON FRAICHE 1EURO     	BOISSON FRAICH	1 	0.10	0105012000	40	300	ZZ
009091	0000000009091	(MT)CLEMENTINE GAMIN          	CLEMENT. GAMIN	1 	2.75	0230349900	91	440	ZZ
513053	3256222254227	550ML VINAIG.VIN/ECHALOTE HO U	550ML VINAIG.V	1 	1.48	0105032510	47	140	8 
397538	3272036002182	70CL SIROP TRAD RECETTE PROVEN	70CL SIROP TRA	1 	2.01	0110101005	62	300	3 
528600	3068110703232	1KG FARINE SUPREME T45        	1KG FARINE SUP	1 	1.43	0105031005	20	100	3 
004410	0000000004410	(MT)POIRE WILLIAMS ROUGE      	POIRE WILLIAMS	1 	1.74	0230349900	91	440	8 
598891	3256224354987	262G 4 BATONNET.CHOCO/NOISET.U	262G 4 BATONNE	1 	1.24	0215252505	21	410	8 
173243	3023292266005	500G GATEAU RIZ         NESTLE	500G GATEAU RI	1 	1.49	0225291005	36	418	3 
689943	3600550119220	150ML GEL COIF VIVEL TURBO    	150ML GEL COIF	2 	2.86	0120150510	40	640	3 
733213	3256224066583	X80 BOITE MOUCHOIRS LOTION U  	X80 BOITE MOUC	2 	0.62	0120162005	20	670	8 
313128	3181232172448	120G SAUCE F GRAS CHARAL      	120G SAUCE F G	1 	1.48	0255477005	33	419	3 
001307	3256224118510	400G NUGGETS FILET DE POULET U	400G NUGGETS F	1 	1.98	0250469505	60	460	8 
003236	0000000003236	(MT)PECHE JAUNE               	PECHE JAUNE   	1 	1.80	0230349900	91	440	8 
238637	7622210353252	2X276G GRANOLA COOKIE MAX CHOC	2X276G GRANOLA	1 	3.61	0105021005	28	20 	ZZ
NULL	3256222254234	VINAIG.BLASA/OLIVE U 550ML    	VINAIG.BLASA/O	1 	1.31	0105032510	47	140	8 
330497	3147690070405	FLASK 20CLX37.5* VODKA POLIAKO	FLASK 20CLX37.	2 	2.55	0110121010	5 	370	3 
534601	3256222990330	4 TAMPONS SUR EPONGE ROUGE U  	4 TAMPONS SUR 	2 	0.96	0115140505	90	510	8 
009121	0000000009121	(MT)CLEMENVILLA 2KG           	CLEMENVILL 2KG	1 	1.80	0230349900	91	440	ZZ
439940	3256223631218	75CL PORTO TAWNY U 19°        	75CL PORTO TAW	2 	4.53	0110120535	60	360	8 
598736	3256223683835	390G SPECIAL SAUCE COULIS U   	390G SPECIAL S	1 	0.69	0105034510	70	140	8 
485365	3256222215143	1/5 SARDINE HUIL.OLIV VIERGE U	1/5 SARDINE HU	1 	0.84	0105051005	10	220	8 
476340	3660992007875	3X1/12 CONCENTRE TOMATE B.VU  	3X1/12 CONCENT	1 	0.38	0105034510	80	140	9 
003150	0000000003150	TOMATE COCKTAIL               	TOMATE COCKTAI	1 	1.30	0230359900	93	450	ZZ
597081	3502110004765	1L TROPICANA ESSENTIEL FIBRES 	1L TROPICANA E	1 	1.91	0110101505	30	300	3 
003093	0000000003093	RAISIN NOIR BLACK MAGIC ITALIE	RAISIN NOIR BL	1 	2.50	0230349900	91	440	ZZ
009088	0000000009088	(MT)ASPERGE VERTE BOTTE       	ASPERGE V. BOT	1 	2.45	0230359900	93	450	3 
003093	0000000003093	RAISIN NOIR BLACK MAGIC ITALIE	RAISIN NOIR BL	1 	1.55	0230349900	91	440	ZZ
352805	3017760635295	225G PRINCE GRANOLA POCKET    	225G PRINCE GR	1 	1.45	0105021005	38	20 	3 
520725	3242274000059	320G SALADE MANHATTAN         	320G SALADE MA	4 	2.82	0240391520	53	380	3 
466905	3496080210199	BRIK 6X1L 1/2 ECR PPX LAIT ICI	BRIK 6X1L 1/2 	1 	3.62	0225321005	40	90 	1 
003812	3017800016862	1/2 HARICOT VERT EXT/FIN DAUCY	1/2 HARICOT VE	1 	0.74	0105043505	20	210	3 
NULL	3542820008530	GNOCCHI 1KG                   	GNOCCHI 1KG   	1 	1.60	0240390505	34	380	4 
699697	5998749108598	60G LES IRRES.WHI C/BOULE POIL	60G LES IRRES.	2 	0.85	0105082010	40	270	3 
408274	3068328018005	150ML BRUMISATEUR EVIAN       	150ML BRUMISAT	2 	1.89	0120153005	10	660	3 
360523	3033710083107	BOUILLON BOEUF FAMIL 4L  MAGGI	BOUILLON BOEUF	1 	0.96	0105052015	10	130	3 
266787	7613034528971	425ML X 5 POP UP SMARTIES     	425ML X 5 POP 	1 	2.35	0215253005	40	410	3 
004348	0000000004348	PASTEQUE                      	PASTEQUE      	1 	0.65	0230349900	91	440	ZZ
453928	3256224310471	200G BRIQUE VACHE 32%MG U     	200G BRIQUE VA	1 	1.28	0225280505	4 	420	8 
745799	3487400000415	4X125G SACHETS EBLY 10MN      	4X125G SACHETS	1 	1.40	0105041010	40	100	3 
670245	3517460322100	135G TETES BRULEES POMME VERQU	135G TETES BRU	2 	1.23	0105022505	10	70 	3 
188272	3183941148103	1L ALCOOL MENAGER CITRON      	1L ALCOOL MENA	2 	1.84	0320751005	40	530	3 
644163	3700281100204	DECORATION NOEL 2 €           	DECORATION NOE	2 	1.34	0305601025	30	600	ZZ
675467	3256221675467	200ML GAR PEAUX SENS.ATO(CU)  	200ML GAR PEAU	2 	1.21	0120151510	35	660	ZZ
009063	0000000009063	(MT)POMME D.TERRE CHERIE 2,5KG	PDT CHERIE 2,5	1 	2.31	0230359900	93	450	ZZ
215223	7613035618299	162 G ESCARGOTS LAIT LANVIN   	162 G ESCARGOT	1 	4.45	0105024020	42	61 	ZZ
415598	3256223014547	75CL BIDON SIROP MENTHE U     	75CL BIDON SIR	1 	1.21	0110101005	60	300	8 
003853	0000000003853	ORANGE VALENCIALATE 2KG 5/6   	ORANGE VALENCI	1 	2.10	0230349900	91	440	ZZ
004862	0000000004862	(MT)ABRICOT FR                	ABRICOT FR    	1 	1.74	0230349900	91	440	ZZ
944254	5449000214058	1L5 FANTA ANANAS CITRON       	1L5 FANTA ANAN	1 	1.43	0110100505	15	300	3 
597691	4009900467421	5X10 FREEDENT MENTHE LEGERE   	5X10 FREEDENT 	2 	1.72	0105023005	90	70 	3 
NULL	3256220497138	COMPOTE POMMES ALLE.U BIO 650G	COMPOTE POMMES	1 	1.46	0105061015	90	200	8 
118560	3173287140145	200G BALLOTIN CHARDONS 7 LIQUE	200G BALLOTIN 	2 	1.30	0105024020	40	61 	ZZ
726266	3451790879913	 2X250G BEURRE TEND DOUX EL&V 	 2X250G BEURRE	1 	2.73	0225311005	3 	419	ZZ
004060	0000000004060	BROCOLI                       	BROCOLI       	1 	1.95	0230359900	93	450	ZZ
290122	8437002290122	(MT)SALADE SUCRINE BARQUETTE  	SALADE SUCRINE	1 	1.00	0230359900	93	450	ZZ
478114	3660992115006	1L HUILE DE TOURNESOL BIEN VU 	1L HUILE DE TO	1 	1.17	0105032005	40	170	9 
475166	3256220870863	500G CREVET.NORDIQ 120/180 U  	500G CREVET.NO	1 	3.18	0215242510	40	390	8 
NULL	5053827104081	KELLOGG S FROSTIES PAQUET 400G	KELLOGG S FROS	1 	2.13	0105012010	30	40 	ZZ
286737	3587221227609	600G CHINOIS A LA CREME PAT   	600G CHINOIS A	1 	2.05	0210220515	94	20 	3 
416829	3336970711057	ST 60G CURLY CACAHUET  LORENZ 	ST 60G CURLY C	1 	0.49	0105020505	15	20 	3 
495124	4008667009936	1L PET OCEAN SPRAY CLASSIC    	1L PET OCEAN S	1 	1.34	0110100515	15	300	3 
105557	3045140105557	LOT 3X100G  MILKA (CU)        	LOT 3X100G  MI	2 	2.09	0105021505	35	60 	ZZ
282849	3256221282849	RAS.JETABLE LADY3 BYU LAM(CU) 	RAS.JETABLE LA	2 	1.01	0120153010	85	650	ZZ
020686	8000500167113	375G BOITE FERRERO ROCHERS T30	375G BOITE FER	1 	5.99	0105024020	30	61 	ZZ
735001	3760147735001	RADIS BOTTE                   	RADIS BOTTE   	1 	0.90	0230359900	93	450	ZZ
025458	8410076470553	395G SAUCE A CUISINE FAJITAS  	395G SAUCE A C	1 	1.65	0105071015	18	240	3 
515592	3183280012837	800 G BICARBONATE SOUD ALIMENT	800 G BICARBON	1 	1.66	0105033015	40	80 	3 
004450	0000000004450	(MT)CLEMENTINE COR            	CLEMENTINE COR	1 	3.52	0105012000	91	440	ZZ
825206	4046719707393	2 EPONGES GRATTANTES BLEUES   	2 EPONGES GRAT	2 	1.13	0115140505	90	510	3 
444555	3256224310273	200G EMMENTAL TRANCHET.29%MG U	200G EMMENTAL 	1 	1.03	0225284005	9 	420	8 
452736	3368953545274	200G MAROILLES QUART U SAV    	200G MAROILLES	1 	1.64	0225280510	5 	420	15
425616	3256221672657	BONDE UNIVERS. A/CHAINE U MAIS	BONDE UNIVERS.	2 	0.84	0305571505	20	540	8 
031328	3133200094580	8 RLX PAP/TOIL BLC LOTUS CONF 	8 RLX PAP/TOIL	2 	2.23	0120163005	30	670	3 
815005	3173287815005	470G PAPILLOTES F(CU)         	470G PAPILLOTE	1 	1.99	0105024010	18	61 	ZZ
390188	3256221011319	500G GRAINE COUSCOUS MOYEN U  	500G GRAINE CO	1 	0.48	0105041005	40	100	8 
127470	7613034636591	FOND DE VEAU BOITE 110G  MAGGI	FOND DE VEAU B	1 	2.01	0105035005	10	130	3 
003854	3017800078723	1/2 POIS CAROTTE EXT/FIN DAUCY	1/2 POIS CAROT	1 	0.73	0105043505	10	210	3 
610994	3088865205256	300G SAVANE CHOCOLAT ORIGINAL 	300G SAVANE CH	1 	1.64	0105021010	50	20 	3 
010518	3017800010518	D AUCY LENTILLES PREPAREES(CU)	D AUCY LENTILL	1 	0.69	0105043505	22	210	3 
004456	0000000004456	(MT)TOMATE COEUR DE BOUF      	TOMATE COEUR D	1 	2.49	0230359900	93	450	ZZ
445438	3368954301343	90GX2 PROFITEROLES U SAVEURS  	90GX2 PROFITER	1 	1.12	0225291005	34	418	15
743080	3181730021101	100ML PENTO ROUGE NORMAL      	100ML PENTO RO	2 	1.50	0120150510	48	640	3 
367064	3542820367064	MOUSSE FORESTIERE (CU)        	MOUSSE FORESTI	1 	1.50	0245423545	12	475	ZZ
NULL	3256220513715	LEVURE BOULANGERE U ETUI 6X5G 	LEVURE BOULANG	1 	0.37	0105030520	40	80 	8 
547426	3162050028070	40 CAISSETTES ASSORTIES       	40 CAISSETTES 	2 	0.90	0105030505	40	80 	3 
003242	0000000003242	(MT)PECHE BLANCHE.FR.         	PECHE BL.JA   	1 	1.85	0230349900	91	440	ZZ
499225	3256220178129	4 DES.POMME/POIRE SS AJOUTE U 	4 DES.POMME/PO	1 	0.68	0225291020	50	418	8 
990776	3162050018682	125 G NOIX DE COCO RAP STE LUC	125 G NOIX DE 	1 	0.87	0105030505	40	80 	3 
139265	3176571625007	BLLE 50CLS  LAIT 1/2 EC CANDIA	BLLE 50CLS  LA	1 	0.63	0225321005	40	90 	8 
295095	7613034522146	350G 5 PIRULO HAPPY           	350G 5 PIRULO 	1 	1.78	0215253005	40	410	3 
743967	3058320053074	250ML MENEN MOUSS/RASER B/DIFF	250ML MENEN MO	2 	1.65	0120151510	35	660	3 
730582	3059940006822	1L DESTOP LIQUIDE             	1L DESTOP LIQU	2 	1.51	0115131530	50	510	3 
429042	3256220081856	85G CRACKERS SALES GOUDA U    	85G CRACKERS S	1 	0.61	0105020505	10	20 	8 
007531	3180940080830	2X50G MOUSSE DE FOIE MADRANGE 	2X50G MOUSSE D	1 	0.71	0240381510	40	380	3 
476358	3660992125043	150G TUBE CONC.TOMATE BIEN VU 	150G TUBE CONC	1 	0.41	0105034510	80	140	9 
119760	3256225454945	1/5 THON ENTIER NATUREL U     	1/5 THON ENTIE	1 	1.04	0105051005	20	220	8 
120923	3229820019062	PQ 130GR GALETTES RIZ BJORG   	PQ 130GR GALET	1 	0.97	0105071505	50	260	3 
003386	0000000003386	(MT)CLEMENTINE FEUILLE        	CLEMENTINE FEU	1 	1.15	0230349900	91	440	ZZ
968444	5410316947053	70CL SMIRNOFF ICE 4°          	70CL SMIRNOFF 	2 	2.24	0110102020	20	310	3 
442090	3256220887984	1L PET PUR JUS CLEMENTINE U   	1L PET PUR JUS	1 	1.15	0110101505	40	300	8 
437451	3256220367547	37.5CL MEDOC RG ALLEE/ROY U   	37.5CL MEDOC R	2 	1.63	0110111010	14	340	8 
684480	3596511196150	350G ASSORTIMENT ROYAL PIE QUI	350G ASSORTIME	2 	1.69	0105022505	10	70 	3 
991314	8410031991314	CHUPA C(CU)                   	CHUPA CHUPS   	2 	0.15	0105023005	50	75 	ZZ
NULL	3017760010009	PQ 335G THE BRUN CARTOUCHE    	PQ 335G THE BR	1 	1.19	0105021005	20	20 	3 
411976	3256221310641	1L BK MOULINE LEGUMES VARIES U	1L BK MOULINE 	1 	0.82	0105052015	35	130	8 
046064	8412276046064	(MT)SUCRINE BQ .              	SUCRINE BQ    	1 	1.85	0230359900	93	450	3 
003225	0000000003225	POIVRON DOUX CORNE DE BOEUF   	POIVRON DOUX C	1 	1.95	0230359900	93	450	ZZ
092447	3046920022507	100G EXCEL NOIR CARAMEL LINDT 	100G EXCEL NOI	1 	1.27	0105021510	35	60 	3 
009003	0000000009003	(MT)CITRON FEUILLE            	CITRON FEUILLE	1 	2.63	0230349900	60	440	ZZ
730825	3178047071004	FL 1L  TERRA BRILLANCE        	FL 1L  TERRA B	2 	2.10	0115131545	30	510	3 
NULL	3155930005568	65CL BIERE DESPERADOS         	65CL BIERE DES	2 	1.82	0110102005	35	310	3 
058689	3183941146109	1L ALCOOL A BRULER            	1L ALCOOL A BR	2 	1.52	0320751005	40	530	3 
080115	4008429694608	SAC 10L LITIERE CATSAN        	SAC 10L LITIER	2 	3.33	0105081505	38	270	3 
744078	3046920045759	150G PRALINÉ ROCHER NOIR      	150G PRALINÉ R	2 	1.74	0105021510	40	60 	3 
554782	3256224235705	4X100G FGE FRAIS MOUSSE CREM U	4X100G FGE FRA	1 	1.17	0225291010	5 	418	8 
046064	8412276046064	(MT)SUCRINE BQ                	SUCRINE BQ    	1 	1.40	0230359900	93	450	3 
664896	8001665128032	250G GD RAVIOLI CEPES RANA    	250G GD RAVIOL	1 	1.82	0240390515	35	380	3 
380468	3251248032606	250ML SHAMP PTT MA KARITE MIEL	250ML SHAMP PT	2 	1.81	0120150525	10	640	3 
009005	0000000009005	(MT)CITRON VERT               	CITRON VERT   	1 	2.30	0230349900	91	440	ZZ
184252	3263670011326	1/6 SARDINES A L HUILE D OLIVE	1/6 SARDINES A	1 	1.43	0105051005	10	220	3 
012146	3538280020984	TAB 100G  LIGHT NOIR POULAIN  	TAB 100G  LIGH	1 	1.26	0105021510	27	60 	3 
410564	3256223624326	1L PASTIS DE MARSEILLE 45° U  	1L PASTIS DE M	2 	11.57	0110120510	10	360	8 
NULL	5998749108536	WHISKAS LES IRRESIST SAUMON   	WHISKAS LES IR	2 	0.76	0105081005	28	270	3 
